TimeStamp,Velocity,DesiredVelocity,ControllerOutput,Acceleration
46.5,9.98054,10,496.369,-0.00265728
46.6,9.98027,10,496.461,-0.00255202
46.7,9.98001,10,496.552,-0.00244863
46.8,9.97977,10,496.641,-0.00234708
46.9,9.97953,10,496.729,-0.00224736
47,9.97931,10,496.816,-0.00214944
47.1,9.9791,10,496.901,-0.00205331
47.2,9.97889,10,496.986,-0.00195894
47.3,9.97869,10,497.068,-0.00186631
47.4,9.97851,10,497.15,-0.00177541
47.5,9.97833,10,497.23,-0.00168622
47.6,9.97816,10,497.309,-0.00159871
47.7,9.978,10,497.387,-0.00151286
47.8,9.97785,10,497.464,-0.00142867
47.9,9.97771,10,497.539,-0.0013461
48,9.97757,10,497.613,-0.00126514
48.1,9.97745,10,497.687,-0.00118577
48.2,9.97733,10,497.758,-0.00110796
48.3,9.97722,10,497.829,-0.00103171
48.4,9.97711,10,497.899,-0.000956997
48.5,9.97702,10,497.967,-0.000883792
48.6,9.97693,10,498.034,-0.000812082
48.7,9.97685,10,498.101,-0.000741849
48.8,9.97677,10,498.166,-0.000673073
48.9,9.97671,10,498.23,-0.000605736
49,9.97665,10,498.292,-0.00053982
49.1,9.97659,10,498.354,-0.000475307
49.2,9.97654,10,498.415,-0.000412179
49.3,9.9765,10,498.475,-0.000350418
49.4,9.97647,10,498.533,-0.000290005
49.5,9.97644,10,498.591,-0.000230924
49.6,9.97642,10,498.648,-0.000173157
49.7,9.9764,10,498.703,-0.000116685
49.8,9.97639,10,498.758,-6.14923e-05
49.9,9.97638,10,498.812,-7.56099e-06
50,9.97638,10,498.864,4.51261e-05
50.1,9.97638,10,498.916,9.65859e-05
50.2,9.97639,10,498.967,0.000146835
50.3,9.97641,10,499.016,0.000195891
50.4,9.97643,10,499.065,0.00024377
50.5,9.97645,10,499.113,0.000290489
50.6,9.97648,10,499.16,0.000336064
50.7,9.97652,10,499.206,0.000380511
50.8,9.97655,10,499.252,0.000423847
50.9,9.9766,10,499.296,0.000466087
51,9.97664,10,499.339,0.000507248
51.1,9.97669,10,499.382,0.000547345
51.2,9.97675,10,499.424,0.000586394
51.3,9.97681,10,499.465,0.00062441
51.4,9.97687,10,499.505,0.00066141
51.5,9.97694,10,499.544,0.000697407
51.6,9.97701,10,499.583,0.000732418
51.7,9.97708,10,499.62,0.000766457
51.8,9.97716,10,499.657,0.00079954
51.9,9.97724,10,499.693,0.00083168
52,9.97732,10,499.729,0.000862893
52.1,9.9774,10,499.763,0.000893193
52.2,9.97749,10,499.797,0.000922594
52.3,9.97759,10,499.83,0.000951111
52.4,9.97768,10,499.863,0.000978758
52.5,9.97778,10,499.895,0.00100555
52.6,9.97788,10,499.925,0.0010315
52.7,9.97798,10,499.956,0.00105662
52.8,9.97809,10,499.985,0.00108092
52.9,9.9782,10,500.014,0.00110442
53,9.97831,10,500.042,0.00112714
53.1,9.97842,10,500.07,0.00114907
53.2,9.97853,10,500.097,0.00117025
53.3,9.97865,10,500.123,0.00119068
53.4,9.97877,10,500.149,0.00121037
53.5,9.97889,10,500.174,0.00122933
53.6,9.97901,10,500.198,0.00124759
53.7,9.97914,10,500.222,0.00126514
53.8,9.97927,10,500.245,0.00128201
53.9,9.97939,10,500.268,0.0012982
54,9.97952,10,500.29,0.00131373
54.1,9.97966,10,500.311,0.00132861
54.2,9.97979,10,500.332,0.00134286
54.3,9.97992,10,500.353,0.00135647
54.4,9.98006,10,500.372,0.00136947
54.5,9.9802,10,500.392,0.00138186
54.6,9.98033,10,500.41,0.00139366
54.7,9.98047,10,500.429,0.00140487
54.8,9.98061,10,500.446,0.00141552
