# x_m,y_m,w_tr_right_m,w_tr_left_m
3.0900,3.8900,0.6801,0.6801
3.0400,3.8900,0.6671,0.6671
2.9900,3.8900,0.6576,0.6576
2.9400,3.9400,0.7018,0.7018
2.8900,3.9400,0.7000,0.7000
2.8900,3.8900,0.6500,0.6500
2.8400,3.8400,0.6000,0.6000
2.7900,3.7900,0.5523,0.5523
2.7400,3.7400,0.5099,0.5099
2.6900,3.6900,0.4743,0.4743
2.6400,3.6400,0.4272,0.4272
2.5900,3.5900,0.3640,0.3640
2.5400,3.5400,0.3041,0.3041
2.5400,3.4900,0.3000,0.3000
2.5400,3.4400,0.3041,0.3041
2.5400,3.3900,0.3162,0.3162
2.5400,3.3400,0.3162,0.3162
2.5400,3.2900,0.3041,0.3041
2.5400,3.2400,0.3000,0.3000
2.5400,3.1900,0.3041,0.3041
2.5400,3.1400,0.3162,0.3162
2.4900,3.0900,0.3808,0.3808
2.4400,3.0400,0.4472,0.4472
2.3900,3.0400,0.4743,0.4743
2.3400,3.0400,0.4610,0.4610
2.2900,3.0900,0.4031,0.4031
2.2400,3.0900,0.4000,0.4000
2.1900,3.0900,0.4000,0.4000
2.1400,3.0900,0.4000,0.4000
2.0900,3.0900,0.4000,0.4000
2.0400,3.0900,0.4031,0.4031
1.9900,3.0900,0.4123,0.4123
1.9400,3.1400,0.3808,0.3808
1.8900,3.1400,0.4031,0.4031
1.8400,3.1400,0.4272,0.4272
1.7900,3.1400,0.4031,0.4031
1.7400,3.1900,0.4272,0.4272
1.6900,3.2400,0.4610,0.4610
1.6400,3.2900,0.4924,0.4924
1.5900,3.3400,0.5220,0.5220
1.5400,3.3400,0.5220,0.5220
1.4900,3.3400,0.5099,0.5099
1.4400,3.2900,0.4528,0.4528
1.3900,3.2400,0.4000,0.4000
1.3400,3.1900,0.3500,0.3500
1.2900,3.1900,0.3500,0.3500
1.2400,3.1900,0.3500,0.3500
1.1900,3.1900,0.3500,0.3500
1.1400,3.1900,0.3500,0.3500
1.0900,3.1900,0.3500,0.3500
1.0400,3.1900,0.3500,0.3500
0.9900,3.1900,0.3500,0.3500
0.9400,3.1900,0.3500,0.3500
0.8900,3.1900,0.3500,0.3500
0.8400,3.1900,0.3536,0.3536
0.7900,3.1900,0.3640,0.3640
0.7400,3.1900,0.3808,0.3808
0.6900,3.1900,0.4000,0.4000
0.6400,3.1400,0.3500,0.3500
0.5900,3.1400,0.3500,0.3500
0.5400,3.1400,0.3536,0.3536
0.4900,3.1900,0.4123,0.4123
0.4400,3.2400,0.4743,0.4743
0.3900,3.2900,0.5385,0.5385
0.3400,3.2900,0.5000,0.5000
0.3400,3.3400,0.5000,0.5000
0.3400,3.3900,0.5025,0.5025
0.3400,3.4400,0.5099,0.5099
0.3400,3.4900,0.5220,0.5220
0.3400,3.5400,0.5385,0.5385
0.3400,3.5900,0.5500,0.5500
